x,y,z
2,20,1655
46,39,18529
23,6,2097
33,41,14682
3,17,1361
15,27,5077
19,42,10612
19,46,12092
16,34,7200
48,30,15188
49,30,15538
13,32,5946
22,2,1390
32,43,15185
0,15,853
2,37,4920
8,14,1500
6,29,3839
6,0,127
3,24,2405
20,4,1446
26,9,3060
32,33,11196
35,27,9918
41,14,7275
39,47,19637
47,26,13184
33,27,9361
6,36,5491
24,42,12127
3,19,1630
44,3,4913
9,3,433
21,0,1042
12,34,6268
0,6,187
4,41,6388
24,48,14534
29,9,3546
31,45,15697
44,0,4194
32,10,4296
1,10,483
40,48,20534
24,40,11374
40,24,10285
41,49,21450
23,21,5201
37,39,15218
33,7,3802
39,28,11449
21,32,7826
23,21,5202
16,34,7200
6,19,1989
19,27,5918
20,23,5093
9,19,2386
41,34,14474
8,7,702
47,30,14841
16,45,10808
49,4,6230
18,47,12162
42,33,14395
25,42,12442
41,16,7887
17,30,6290
0,8,293
40,30,12523
40,27,11377
25,7,2537
32,20,6905
37,28,10850
36,15,6397
15,46,10873
36,13,5847
25,23,6154
19,3,1213
6,26,3221
2,30,3366
30,34,10965
40,48,20534
15,28,5329
4,43,6953
0,14,755
27,28,8101
36,12,5581
26,22,6102
2,33,3996
9,28,4159
41,18,8523
0,9,355
47,11,7830
21,48,13522
2,10,545
14,15,2393
22,40,10776
0,13,664
27,16,4764
42,14,7518
22,25,6036
20,16,3498
29,49,16746
29,4,2570
14,14,2226
45,46,21582
31,45,15698
46,9,6980
31,44,15265
25,15,4154
44,38,17303
8,38,6468
47,4,5792
24,11,3138
43,21,10082
31,24,7865
27,46,14725
21,20,4563
24,37,10287
30,46,15777
35,27,9918
18,33,7388
9,36,6143
36,12,5581
11,25,3858
36,1,3051
14,38,7914
12,29,4968
15,43,9814
36,8,4577
13,22,3566
1,15,938
41,24,10574
9,40,7279
23,28,7112
8,36,5921
9,39,6985
23,11,2982
6,23,2657
11,49,10769
2,32,3779
37,39,15218
8,13,1367
30,20,6443
0,28,2673
19,28,6188
19,33,7634
12,16,2290
48,23,12317
14,28,5124
47,7,6630
49,30,15539
7,33,4946
25,5,2194
37,29,11218
19,30,6749
27,12,3845
26,29,8160
0,31,3237
22,10,2646
21,36,9106
26,43,13158
44,44,20166
40,7,5117
42,30,13166
21,26,6086
7,14,1393
47,13,8465
10,42,8137
32,6,3419
1,29,3009
46,7,6402
23,4,1785
43,4,4965
2,35,4446
10,22,3078
32,12,4770
42,0,3835
0,40,5254
10,1,348
28,5,2608
38,10,5477
7,13,1265
35,22,8253
1,11,561
19,20,4189
44,38,17303
34,49,18635
12,38,7415
17,30,6291
8,19,2250
4,9,595
28,1,1931
4,38,5584
44,28,13014
41,13,6978
39,12,6232
10,31,5058
27,36,10805
21,34,8455
10,42,8137
27,48,15581
15,9,1585
49,24,13030
17,3,1026
1,31,3401
8,22,2772
3,33,4177
15,48,11608
8,1,252
19,13,2754
7,17,1809
31,31,10182
18,20,4007
11,0,332
49,18,10738
45,19,9945
31,9,3889
27,21,6049
41,38,16202
0,36,4298
2,4,168
20,1,1067
46,49,23580
22,10,2645
36,2,3251
34,28,9984
12,17,2459
36,31,11662
1,29,3009
47,9,7218
8,14,1499
22,49,14268
39,39,15925
42,20,9456
1,8,343
32,23,7806
38,24,9720
48,39,19309
38,11,5741
26,29,8160
24,11,3137
43,23,10797
3,49,8530
27,26,7485
28,3,2258
16,42,9751
48,15,9398
46,28,13667
33,47,17322
21,1,1161
38,45,18288
45,45,21073
18,31,6801
6,34,4989
29,17,5418
20,34,8196
29,34,10670
44,37,16847
43,46,20757
44,11,7097
32,8,3845
42,4,4768
39,29,11826
30,21,6728
29,6,2943
33,13,5217
21,36,9106
35,49,19026
36,15,6397
24,18,4664
12,9,1268
20,23,5094
1,30,3203
11,14,1844
49,37,18738
0,44,6305
36,32,12042
32,0,2286
2,40,5676
24,7,2398
2,7,330
31,3,2677
49,8,7399
2,45,7055
21,35,8777
20,0,954
1,46,7107
9,39,6986
5,37,5537
38,17,7452
21,6,1847
11,10,1293
29,7,3137
24,26,6767
33,2,2787
44,34,15515
8,34,5399
34,18,6793
2,45,7056
7,32,4705
43,4,4965
15,12,2032
11,43,8718
24,28,7353
28,45,14647
23,5,1937
35,44,16700
44,48,22193
18,21,4232
48,23,12317
12,32,5730
7,20,2280
9,5,593
48,44,21809
26,3,1998
16,5,1167
48,40,19798
32,29,9768
20,35,8514
11,31,5261
43,31,13901
25,2,1723
16,8,1557
48,43,21298
31,48,17032
42,13,7216
6,23,2657
22,33,8395
4,43,6954
27,15,4526
38,3,3798
32,24,8117
35,8,4388
30,24,7615
6,14,1290
27,31,9070
36,10,5067
33,12,4967
21,20,4563
21,49,13930
16,16,2862
24,16,4198
39,28,11448
0,33,3643
1,31,3401
31,37,12402
30,16,5367
25,47,14457
47,14,8793
49,28,14679
17,17,3210
22,41,11140
36,2,3251
29,46,15422
34,44,16335
22,21,4999
37,39,15217
32,28,9425
25,31,8537
7,1,210
18,28,5968
47,37,17970
27,4,2293
46,36,17131
46,16,9192
49,1,5418
32,48,17405
48,46,22851
39,41,16817
6,44,7739
31,8,3673
38,45,18287
7,10,920
0,22,1708
48,29,14760
7,28,3800
29,0,1899
30,24,7616
2,5,215
24,6,2228
25,13,3713
7,45,8306
15,47,11238
23,37,10002
36,28,10557
26,47,14802
6,17,1692
1,21,1681
23,19,4710
13,3,698
35,14,5901
38,15,6857
19,11,2398
9,10,1098
8,10,1008
26,25,6947
0,36,4297
13,32,5946
35,12,5373
2,15,1025
22,26,6309
31,25,8177
26,22,6101
36,3,3457
17,14,2643
25,19,5106
37,24,9442
3,43,6717
39,33,13393
20,12,2717
38,20,8387
43,21,10082
38,47,19241
27,21,6049
19,0,868
4,33,4364
46,24,12079
13,16,2427
22,24,5768
12,24,3818
22,37,9720
41,18,8523
33,7,3802
17,3,1026
16,13,2328
40,44,18585
15,31,6118
33,37,13041
13,10,1503
28,31,9342
8,2,311
14,31,5898
32,38,13115
41,32,13646
48,20,11178
15,30,5849
4,26,2907
49,10,8018
23,1,1361
7,7,630
6,42,7141
27,35,10445
14,39,8225
40,45,19063
25,11,3297
27,35,10446
25,47,14457
31,42,14416
42,11,6630
45,23,11393
2,17,1260
37,8,4771
28,11,3802
37,3,3625
13,47,10642
46,49,23579
38,4,4020
37,43,16985
32,13,5016
5,39,6065
46,17,9531
37,37,14370
44,19,9666
23,20,4952
35,25,9233
40,4,4385
39,24,10001
9,30,4619
22,44,12267
35,47,18077
13,8,1242
11,0,332
7,11,1030
16,31,6341
20,40,10194
3,17,1362
33,35,12258
42,21,9800
24,24,6205
7,12,1144
22,22,5250
31,38,12792
47,38,18441
43,23,10797
47,31,15269
36,26,9851
0,3,74
24,15,3973
44,13,7704
37,5,4066
17,44,10742
11,14,1844
29,0,1899
30,13,4623
29,18,5679
21,6,1846
34,48,18163
41,41,17561
44,44,20166
49,0,5159
21,27,6361
35,12,5372
29,18,5678
13,14,2095
35,45,17153
25,30,8219
34,45,16783
9,39,6985
22,39,10417
18,0,787
3,29,3329
29,35,11033
12,14,1968
16,41,9411
29,29,8946
33,42,15107
41,36,15326
22,10,2646
21,34,8454
26,27,7542
4,11,777
49,36,18263
0,23,1854
28,14,4480
28,15,4717
14,34,6725
48,16,9742
3,29,3330
25,41,12057
14,5,984
23,30,7713
16,27,5282
13,5,897
39,35,14214
28,11,3801
7,40,6801
5,23,2513
49,17,10378
49,8,7399
13,8,1243
16,26,5031
1,21,1682
34,41,15028
7,38,6241
48,33,16508
23,38,10353
20,20,4373
3,5,258
15,29,5586
45,39,18146
2,41,5939
26,4,2160
5,10,759
0,6,188
32,7,3629
48,22,11932
48,22,11931
15,37,7858
22,14,3418
40,45,19064
26,39,11609
32,8,3846
45,22,11023
5,14,1191
31,30,9832
47,12,8144
19,38,9229
6,48,9008
21,48,13522
26,2,1841
19,13,2753
38,22,9042
16,9,1699
44,21,10367
38,30,11898
3,13,898
29,19,5945
23,49,14609
17,27,5489
43,12,7157
43,36,16037
13,46,10286
12,41,8339
8,45,8567
10,33,5564
43,30,13492
42,22,10150
21,31,7522
17,43,10385
47,16,9465
41,9,5849
3,29,3329
19,47,12478
39,14,6801
8,12,1241
14,45,10223
11,35,6317
29,6,2943
18,3,1118
7,2,264
46,12,7892
39,16,7392
35,31,11358
19,14,2941
36,36,13622
41,41,17561
14,49,11676
42,22,10150
33,20,7142
16,32,6622
26,38,11238
10,21,2888
37,29,11217
20,18,3923
18,29,6239
18,43,10678
28,4,2430
39,28,11449
46,29,14079
46,2,5062
8,49,9899
14,34,6726
44,2,4668
41,14,7275
28,47,15502
10,14,1726
40,30,12523
33,8,4022
45,27,12937
47,19,10517
12,13,1816
16,15,2677
8,25,3347
42,18,8785
43,14,7764
32,37,12720
12,9,1268
33,14,5474
37,35,13546
12,24,3817
15,7,1318
43,48,21772
23,16,4016
45,7,6177
3,7,382
39,7,4918
8,28,3978
9,44,8510
8,9,900
41,4,4574
12,28,4726
16,43,10097
44,39,17765
26,2,1841
2,26,2609
33,24,8374
24,48,14534
40,44,18586
45,19,9946
45,21,10658
29,42,13742
3,20,1773
12,46,9999
11,25,3858
21,30,7222
14,21,3527
23,21,5202
18,21,4232
46,24,12079
20,13,2903
13,26,4446
1,49,8010
8,27,3761
8,3,378
4,22,2207
2,3,125
45,46,21583
25,6,2363
3,13,898
26,40,11988
36,13,5848
49,33,16873
34,10,4674
21,2,1287
1,23,1977
45,49,23145
14,14,2225
38,13,6287
21,18,4103
14,34,6725
17,44,10742
25,1,1577
35,24,8901
34,8,4203
6,37,5752
34,40,14604
7,42,7384
2,36,4679
36,21,8192
19,7,1757
4,34,4596
2,0,35
4,43,6954
0,41,5507
13,25,4218
36,39,14870
30,28,8883
42,20,9455
8,34,5399
8,8,798
2,19,1517
29,31,9617
9,15,1753
30,38,12473
14,43,9533
25,38,10938
15,11,1878
3,10,612
38,14,6569
5,19,1865
48,7,6862
13,30,5422
41,47,20441
49,18,10738
42,35,15245
4,35,4834
49,3,5954
0,35,4074
16,35,7497
19,21,4417
34,24,8635
48,34,16959
46,24,12080
1,22,1827
13,28,4923
32,38,13115
35,43,16253
31,47,16582
41,25,10938
9,0,238
20,4,1445
1,10,482
17,42,10035
20,24,5345
48,6,6571
48,27,13922
31,8,3673
39,7,4917
17,49,12617
34,39,14186
42,19,9118
3,47,7902
8,2,311
4,43,6953
45,21,10658
25,38,10939
38,22,9041
28,8,3178
14,17,2747
10,10,1193
31,41,14002
34,15,5954
47,3,5526
40,45,19064
34,38,13773
23,26,6537
46,10,7278
1,29,3010
20,5,1583
22,15,3626
31,36,12016
42,24,10868
49,32,16423
15,37,7857
27,8,3020
28,42,13412
12,8,1146
12,45,9655
2,25,2435
36,37,14032
17,22,4275
4,7,438
44,39,17765
44,11,7098
14,30,5634
8,9,899
0,33,3643
34,4,3336
5,26,3063
4,45,7543
23,8,2433
8,21,2591
8,2,311
40,30,12523
37,27,10490
41,30,12843
1,2,66
7,26,3384
29,18,5679
11,39,7470
25,1,1577
15,29,5586
37,27,10489
20,35,8514
41,40,17103
22,0,1136
39,42,17273
35,16,6452
28,21,6271
38,14,6570
5,20,2018
25,40,11679
45,43,20074
35,5,3714
19,29,6466
33,47,17321
11,32,5517
12,42,8659
22,33,8396
13,17,2602
17,39,9018
18,16,3171
41,43,18497
44,11,7097
36,20,7878
38,2,3581
15,40,8809
2,6,269
5,31,4098
15,9,1585
28,29,8679
15,3,854
41,19,8850
35,35,12894
23,13,3378
31,49,17489
20,12,2718
29,38,12158
44,4,5166
39,40,16368
32,1,2459
21,29,6929
43,29,13089
22,40,10776
15,10,1729
27,10,3421
37,19,7818
18,0,788
27,48,15581
43,32,14316
29,44,14571
14,2,677
48,1,5212
11,1,402
5,17,1577
49,12,8663
12,37,7119
6,18,1837
17,14,2643
29,30,9279
48,24,12710
44,21,10367
21,14,3255
22,17,4059
17,3,1026
16,7,1422
13,16,2427
30,21,6728
38,20,8387
44,49,22716
14,15,2393
3,28,3133
41,40,17103
28,26,7732
45,16,8922
21,23,5297
33,6,3587
38,27,10782
32,36,12330
43,12,7157
15,16,2713
1,45,6818
34,36,12967
44,6,5687
24,13,3543
21,12,2867
48,7,6861
4,44,7245
16,42,9752
41,14,7275
39,29,11825
6,34,4990
14,9,1475
34,45,16783
46,1,4811
46,12,7891
6,16,1552
27,35,10446
44,22,10728
21,24,5554
23,2,1496
20,40,10194
21,20,4562
12,4,718
4,36,5078
44,28,13013
34,47,17698
17,7,1530
33,9,4250
47,11,7830
43,0,4013
31,3,2678
6,30,4058
3,22,2076
1,47,7402
2,47,7649
30,28,8883
31,34,11264
34,30,10694
11,6,837
41,12,6687
33,25,8697
24,43,12513
25,19,5106
3,24,2404
17,23,4506
37,8,4771
5,23,2513
36,48,18937
15,9,1585
12,29,4967
34,21,7687
8,15,1638
27,16,4765
41,27,11682
48,9,7460
2,16,1139
4,18,1603
28,48,15938
21,38,9782
11,1,401
26,12,3671
31,46,16137
5,1,138
25,12,3503
29,24,7370
36,23,8838
6,49,9340
34,48,18163
2,45,7055
12,21,3199
32,38,13116
3,38,5372
7,10,920
36,26,9851
24,10,2944
42,37,16120
46,11,7581
10,40,7523
5,24,2691
44,44,20165
9,34,5610
5,9,666
10,44,8776
9,29,4385
10,6,757
1,36,4486
23,43,12198
34,32,11428
11,48,10412
37,19,7818
43,6,5476
22,33,8395
14,49,11676
39,16,7393
27,45,14305
15,0,568
30,13,4623
47,22,11624
22,19,4517
48,15,9397
0,48,7453
5,35,5033
11,34,6044
35,16,6453
49,49,24905
49,38,19218
1,5,177
35,5,3714
43,20,9732
39,39,15926
3,9,530
35,47,18077
14,28,5124
28,0,1778
48,13,8728
42,46,20350
9,12,1342
1,36,4487
42,24,10867
46,31,14922
38,14,6570
21,14,3255
1,23,1978
38,47,19242
33,9,4250
6,39,6289
9,5,593
48,43,21298
42,12,6920
33,12,4967
31,3,2678
2,1,60
15,26,4833
5,22,2343
9,38,6699
3,46,7597
6,40,6567
41,33,14058
33,47,17321
6,35,5237
27,6,2644
8,15,1637
20,34,8196
16,31,6342
9,13,1474
3,12,796
47,32,15705
38,17,7452
38,1,3371
19,13,2753
22,23,5505
29,34,10670
42,33,14395
35,5,3714
11,37,6882
19,32,7333
48,17,10091
30,32,10247
2,37,4920
31,15,5317
6,28,3627
32,7,3629
38,7,4721
22,41,11139
19,12,2572
39,5,4434
7,19,2117
43,42,18797
12,42,8659
23,33,8657
49,7,7097
1,23,1977
33,32,11126
19,29,6465
46,13,8208
30,3,2533
17,31,6570
22,23,5505
23,15,3797
34,32,11427
15,7,1317
8,9,900
29,22,6782
40,45,19063
34,22,7998
13,34,6494
35,12,5373
42,22,10149
39,36,14633
43,28,12693
38,20,8388
24,39,11005
8,43,7938
24,35,9594
29,27,8298
7,30,4241
34,37,13368
31,16,5576
25,47,14457
34,35,12573
48,43,21298
24,5,2064
32,15,5526
25,45,13634
37,36,13954
36,45,17527
11,29,4770
29,20,6218
3,4,205
19,29,6465
14,23,3953
14,1,587
36,4,3669
25,37,10578
29,1,2057
26,26,7242
19,27,5917
27,20,5781
29,12,4203
42,43,18886
14,2,677
18,30,6517
35,2,3092
5,14,1191
7,48,9280
26,40,11987
29,42,13743
25,34,9530
12,39,7717
40,4,4385
39,48,20128
32,38,13116
12,35,6545
5,34,4791
28,44,14229
42,20,9456
24,24,6206
11,40,7773
19,18,3749
16,6,1292
44,25,11843
45,34,15871
49,13,8994
11,11,1422
37,18,7511
27,20,5780
9,42,7883
4,30,3704
2,19,1517
14,41,8868
44,43,19674
49,28,14679
13,14,2094
16,45,10808
0,31,3238
18,30,6518
39,22,9312
28,38,11847
29,35,11034
34,33,11803
35,1,2897
31,11,4341
12,43,8985
47,24,12393
37,26,10134
24,18,4664
7,37,5970
5,48,8738
25,15,4154
8,44,8249
25,15,4154
43,19,9389
2,40,5676
15,2,753
27,13,4065
7,37,5970
12,6,919
33,8,4022
11,20,2852
37,22,8774
1,24,2134
12,28,4726
21,28,6642
20,20,4373
30,17,5627
40,38,15843
22,28,6876
39,16,7392
17,15,2826
4,25,2724
41,17,8201
46,36,17131
37,48,19330
43,18,9053
12,26,4260
38,7,4721
18,44,11039
1,0,22
5,45,7793
45,43,20074
2,3,126
19,27,5918
8,42,7631
34,4,3336
40,49,21035
12,41,8340
45,34,15871
23,10,2793
35,40,14949
37,44,17443
29,0,1898
28,49,16380
36,29,10920
47,35,17046
39,35,14214
39,31,12597
15,16,2712
25,29,7905
27,12,3844
45,18,9599
0,27,2498
43,9,6289
23,16,4017
3,13,898
44,19,9665
3,28,3132
49,37,18738
24,23,5933
24,29,7655
48,8,7158
9,14,1610
17,0,710
21,35,8778
5,4,290
42,9,6067
43,21,10082
42,18,8786
2,9,467
37,10,5271
13,1,522
1,49,8010
31,44,15265
34,27,9638
17,47,11849
20,32,7578
22,7,2130
14,42,9198
11,17,2322
32,30,10115
19,33,7633
43,6,5476
36,40,15297
9,24,3311
49,48,24359
4,43,6953
46,46,22002
19,15,3134
49,38,19219
1,9,410
47,26,13185
42,19,9117
38,20,8387
28,6,2791
16,24,4550
46,5,5847
7,19,2117
17,25,4986
6,7,562
15,3,854
13,36,7066
21,40,10482
20,0,954
40,15,7333
34,27,9637
42,29,12768
19,4,1340
17,38,8690
21,46,12727
48,16,9741
46,39,18530
19,32,7333
15,26,4833
32,48,17405
31,42,14416
1,22,1827
38,49,20219
3,9,529
11,22,3236
37,2,3414
22,13,3215
14,12,1908
31,32,10536
31,33,10897
18,1,892
49,39,19705
20,21,4607
41,44,18974
9,22,2923
38,46,18762
36,35,13218
3,23,2237
17,29,6018
48,5,6287
11,27,4302
27,38,11540
38,12,6011
31,46,16137
29,45,14994
26,22,6102
12,11,1530
27,20,5781
17,43,10385
42,48,21356
34,39,14186
15,29,5586
47,46,22425
23,48,14192
21,22,5046
44,12,7397
40,18,8263
34,7,3977
43,8,6012
26,32,9132
38,35,13878
28,39,12230
3,23,2238
33,40,14263
8,1,251
35,7,4157
16,14,2500
18,6,1501
19,37,8897
25,14,3931
47,48,23481
13,14,2094
28,34,10380
14,35,7014
13,12,1786
31,36,12016
49,45,22753
8,48,9558
10,17,2188
26,26,7241
11,18,2493
47,45,21905
22,14,3418
31,47,16582
6,20,2148
38,24,9719
4,12,878
18,47,12161
1,32,3606
37,49,19817
38,26,10422
23,26,6536
39,6,4673
42,7,5530
43,27,12301
4,41,6387
8,11,1122
41,32,13646
26,36,10512
1,33,3818
0,16,958
33,20,7143
4,4,245
10,12,1448
39,23,9654
33,22,7746
49,5,6514
26,6,2502
26,46,14382
1,16,1047
29,14,4671
44,21,10368
16,10,1848
16,34,7199
36,12,5582
28,37,11471
41,9,5850
38,10,5478
29,24,7370
26,15,4337
40,24,10285
16,27,5281
9,36,6142
23,32,8336
21,21,4802
30,24,7616
42,37,16119
6,48,9007
36,17,6972
7,2,264
14,19,3125
3,30,3533
10,14,1726
45,11,7337
25,28,7599
13,41,8602
25,23,6154
47,38,18440
43,32,14316
34,15,5954
33,0,2423
30,7,3298
33,36,12647
22,14,3418
36,7,4342
16,13,2327
41,21,9521
34,43,15893
1,44,6535
0,44,6306
10,18,2354
32,12,4769
22,35,9046
6,48,9007
15,19,3285
44,4,5166
4,33,4364
42,32,13980
8,39,6750
31,24,7864
4,12,878
42,38,16565
43,48,21772
31,47,16582
45,24,11770
32,3,2826
29,22,6783
1,3,97
26,32,9132
12,23,3605
12,40,8026
28,2,2091
5,43,7194
41,39,16650
28,1,1932
20,34,8196
6,20,2147
42,23,10506
49,18,10738
28,47,15502
35,44,16701
14,34,6726
34,15,5953
48,27,13922
45,26,12543
25,0,1438
18,24,4940
42,37,16120
8,47,9222
31,11,4342
21,9,2329
0,2,47
11,45,9378
43,31,13901
32,13,5015
15,44,10160
46,15,8857
8,43,7938
19,29,6465
31,23,7557
1,8,343
37,24,9442
37,0,3011
4,37,5327
43,5,5217
45,4,5371
27,47,15150
46,26,12861
19,40,9908
36,30,11287
32,25,8435
31,32,10537
6,49,9339
45,33,15434
35,12,5372
19,3,1213
23,41,11442
38,20,8387
12,12,1669
21,27,6362
14,17,2747
29,15,4914
12,41,8340
8,43,7937
41,0,3663
10,14,1725
38,29,11519
27,8,3021
49,37,18738
1,5,177
36,22,8512
41,21,9521
1,28,2822
9,32,5102
0,12,578
30,48,16664
14,32,6168
33,2,2787
10,26,3898
26,40,11988
15,49,11985
5,1,138
7,33,4945
31,30,9833
39,9,5426
35,33,12113
1,9,410
2,14,918
20,26,5867
17,2,914
21,48,13523
46,18,9878
36,36,13622
43,36,16037
8,47,9222
34,26,9298
41,47,20441
18,25,5188
11,28,4532
4,29,3495
2,48,7956
24,37,10287
35,21,7938
40,23,9934
31,5,3058
4,45,7544
40,40,16734
49,25,13434
1,45,6818
46,21,10952
45,14,8270
22,26,6310
35,49,19025
45,24,11771
8,5,527
10,39,7226
47,30,14840
31,36,12016
45,0,4379
31,9,3890
40,8,5374
30,12,4387
6,37,5752
11,47,10062
39,34,13801
39,14,6800
18,36,8312
12,17,2459
22,22,5250
19,3,1213
1,9,410
11,37,6882
27,29,8417
4,29,3495
23,38,10353
13,47,10642
46,9,6979
30,28,8884
16,25,4787
15,48,11608
20,27,6138
17,31,6569
15,42,9473
32,13,5016
16,35,7498
10,45,9103
26,4,2160
32,3,2825
0,43,6033
43,48,21772
11,13,1698
46,27,13262
15,47,11238
41,28,12062
10,13,1583
40,2,3928
2,41,5940
44,39,17765
3,22,2077
26,22,6101
41,2,4107
39,26,10713
47,42,20385
6,33,4747
14,43,9533
33,43,15537
4,37,5327
22,16,3839
34,8,4203
49,36,18263
26,0,1547
18,30,6517
42,30,13166
20,36,8838
44,43,19674
31,45,15697
36,15,6398
24,41,11748
35,3,3293
28,5,2608
17,33,7146
